%Data filename = Scores_age_AC_500-c1-c3
%Multiplication factor for 99.99% Chi2 CL = 3.97845
%Multiplication factor for  99.9% Chi2 CL = 3.26556
%Multiplication factor for   99% Chi2 CL = 2.51128
%Multiplication factor for   95% Chi2 CL = 1.93841
%Multiplication factor for   90% Chi2 CL = 1.67020
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.1118746        0.8217418        1.2532282        2.0931364        2.4292749        3.1472066        4.0924922        4.9859103
      0.1124996        0.9219855        1.2482160        2.0847650        2.4195592        3.1346195        4.0761244        4.9659694
      0.1131246        0.8946007        1.2433026        2.0765586        2.4100349        3.1222804        4.0600793        4.9464215
      0.1137496        0.7392005        1.2384818        2.0685070        2.4006903        3.1101742        4.0443368        4.9272424
      0.1143746        0.7440403        1.2337479        2.0606004        2.3915139        3.0982859        4.0288779        4.9084086
      0.1149996        1.0617119        1.2290950        2.0528292        2.3824948        3.0866013        4.0136837        4.8898975
      0.1156246        1.5448851        1.2245177        2.0451842        2.3736220        3.0751063        3.9987361        4.8716867
      0.1162496        1.9599745        1.2200105        2.0376563        2.3648851        3.0637875        3.9840175        4.8537550
      0.1168746        2.1885768        1.2155681        2.0302367        2.3562741        3.0526315        3.9695108        4.8360813
      0.1174996        2.2292771        1.2111856        2.0229169        2.3477788        3.0416257        3.9551993        4.8186455
      0.1181246        2.1013719        1.2068579        2.0156888        2.3393900        3.0307576        3.9410670        4.8014280
      0.1187496        1.8167621        1.2025802        2.0085444        2.3310982        3.0200153        3.9270981        4.7844097
      0.1193746        1.4979774        1.1983481        2.0014758        2.3228945        3.0093871        3.9132777        4.7675721
      0.1199996        1.3282131        1.1941568        1.9944756        2.3147701        2.9988617        3.8995909        4.7508974
      0.1206245        1.2708122        1.1900021        1.9875365        2.3067166        2.9884281        3.8860235        4.7343682
      0.1212495        1.1291816        1.1858798        1.9806514        2.2987258        2.9780758        3.8725618        4.7179677
      0.1218745        0.8631532        1.1817857        1.9738134        2.2907897        2.9677943        3.8591922        4.7016795
      0.1224995        0.5863362        1.1777158        1.9670159        2.2829006        2.9575737        3.8459018        4.6854877
      0.1231245        0.4140257        1.1736663        1.9602524        2.2750510        2.9474043        3.8326779        4.6693769
      0.1237495        0.4349553        1.1696334        1.9535167        2.2672335        2.9372765        3.8195081        4.6533321
      0.1243745        0.6709495        1.1656134        1.9468025        2.2594411        2.9271812        3.8063806        4.6373387
      0.1249995        1.0250730        1.1616028        1.9401039        2.2516668        2.9171094        3.7932836        4.6213826
      0.1256245        1.3580758        1.1575980        1.9334153        2.2439040        2.9070524        3.7802059        4.6054500
      0.1262495        1.6342669        1.1535958        1.9267308        2.2361460        2.8970017        3.7671365        4.5895273
      0.1268745        1.8662509        1.1495928        1.9200450        2.2283866        2.8869490        3.7540644        4.5736016
      0.1274995        1.9010884        1.1455858        1.9133525        2.2206194        2.8768863        3.7409794        4.5576600
      0.1281245        1.5590526        1.1415717        1.9066482        2.2128384        2.8668058        3.7278711        4.5416901
      0.1287495        0.9865690        1.1375474        1.8999269        2.2050377        2.8566997        3.7147296        4.5256797
      0.1293745        0.5051177        1.1335100        1.8931836        2.1972115        2.8465607        3.7015452        4.5096170
      0.1299995        0.2327112        1.1294566        1.8864135        2.1893543        2.8363813        3.6883084        4.4934906
      0.1306245        0.1233593        1.1253843        1.8796120        2.1814604        2.8261546        3.6750100        4.4772891
