depth	min	max	median	mean
44.4	1550.1	1728.4	1682.5	1661.5
44.5	1549.2	1727.5	1681.7	1660.6
44.6	1548.2	1726.4	1680.8	1659.7
44.7	1547.4	1725.4	1680	1658.9
44.8	1546.5	1724.3	1679.1	1658
44.9	1544.6	1723.5	1678.5	1657.1
45	1543.6	1722.5	1677.7	1656.2
45.1	1542.9	1721.4	1676.9	1655.4
45.2	1541.8	1720.6	1676.2	1654.5
45.3	1541.2	1719.7	1675.4	1653.6
45.4	1540	1718.8	1674.6	1652.7
45.5	1539.3	1717.6	1673.7	1651.8
45.6	1538.6	1716.5	1673.1	1650.9
45.7	1537.1	1715.8	1672.3	1650
45.8	1536.3	1714.9	1671.4	1649.1
45.9	1535.4	1714.2	1670.6	1648.2
46	1534.2	1713.3	1669.9	1647.4
46.1	1532.9	1712.3	1669.3	1646.5
46.2	1532	1711.5	1668.5	1645.6
46.3	1531.3	1710.2	1667.6	1644.7
46.4	1530.3	1708.9	1666.8	1643.8
46.5	1529.6	1708	1666.1	1642.9
46.6	1529.1	1707.1	1665.4	1642
46.7	1528.1	1706.2	1664.8	1641.1
46.8	1527.1	1705.6	1664.1	1640.2
46.9	1526.1	1704.9	1663.3	1639.3
47	1524.8	1703.6	1662.7	1638.4
47.1	1523.8	1702.6	1661.8	1637.5
47.2	1522.1	1701.8	1661	1636.7
47.3	1521.4	1700.4	1660.2	1635.7
47.4	1520.6	1699.2	1659.4	1634.8
47.5	1519.7	1698.1	1658.5	1633.9
47.6	1518.8	1697	1657.6	1633
47.7	1517.7	1695.7	1656.9	1632.1
47.8	1516.8	1694.6	1656.1	1631.1
47.9	1515.9	1693.6	1655.3	1630.2
48	1514.6	1692.7	1654.5	1629.3
48.1	1513.3	1691.6	1653.8	1628.4
48.2	1512.2	1690.8	1652.9	1627.5
48.3	1511	1689.8	1651.9	1626.4
48.4	1509.9	1688.5	1650.8	1625.4
48.5	1508.7	1687	1649.8	1624.4
48.6	1507.3	1686.1	1648.9	1623.4
48.7	1505.9	1685.3	1647.7	1622.4
48.8	1505	1684.5	1646.6	1621.3
48.9	1503.8	1683.7	1645.6	1620.3
49	1502.7	1683.1	1644.5	1619.3
49.1	1501.4	1682.2	1643.2	1618.3
49.2	1500.3	1681.4	1642.3	1617.2
49.3	1498.8	1680.1	1641.1	1616.1
49.4	1497.5	1678.9	1639.9	1615
49.5	1495.8	1677.8	1638.6	1613.9
49.6	1494.3	1677	1637.5	1612.8
49.7	1492.8	1676	1636.5	1611.6
49.8	1491.1	1674.9	1635.3	1610.5
49.9	1489.4	1674.2	1634	1609.4
50	1487.6	1673.4	1632.6	1608.3
50.1	1485.8	1672.8	1631.4	1607.1
50.2	1484.1	1672.1	1629.9	1606
50.3	1482.6	1670.9	1628.8	1604.8
50.4	1481.2	1669.8	1627.5	1603.7
50.5	1479.3	1668.7	1626.1	1602.5
50.6	1477.9	1667.9	1624.9	1601.3
50.7	1476.3	1666.8	1623.6	1600.2
50.8	1474.9	1665.5	1622.2	1599
50.9	1473.1	1664.6	1620.9	1597.8
51	1471.2	1663.9	1619.7	1596.7
51.1	1469.4	1663	1618.4	1595.5
51.2	1467.3	1662.3	1617.2	1594.3
51.3	1465.8	1660.9	1616	1593.2
51.4	1464	1659.6	1614.8	1592
51.5	1462.3	1658.5	1613.5	1590.8
51.6	1460.9	1657.6	1612.1	1589.6
51.7	1459.5	1656.4	1610.6	1588.5
51.8	1457.9	1655.3	1609.3	1587.3
51.9	1456.7	1654.1	1607.9	1586.1
52	1455.9	1653.1	1606.7	1584.9
52.1	1454.2	1652.1	1605.5	1583.8
52.2	1452.4	1651.3	1604	1582.6
52.3	1450.5	1650.1	1602.8	1581.4
52.4	1449.2	1648.6	1601.6	1580.3
52.5	1447.9	1647.4	1600.3	1579.1
52.6	1446.2	1646.8	1598.9	1577.9
52.7	1444.3	1646	1597.6	1576.7
52.8	1443.2	1645.3	1596.2	1575.6
52.9	1442.3	1643.9	1594.9	1574.4
53	1441.2	1643.1	1593.5	1573.2
53.1	1439.5	1642.3	1592.3	1572
53.2	1438.2	1641.6	1590.8	1570.9
53.3	1436.9	1640.2	1589.6	1569.7
53.4	1435.3	1638.7	1588.5	1568.5
53.5	1434.1	1637.6	1587.4	1567.3
53.6	1432.2	1636.1	1585.9	1566.1
53.7	1430.6	1635.3	1584.5	1564.9
53.8	1429.2	1634.4	1583.3	1563.7
53.9	1427.6	1633.2	1582.2	1562.5
54	1426.1	1632.1	1580.8	1561.3
54.1	1424.6	1631.1	1579.4	1560.1
54.2	1422.8	1630.1	1578	1558.9
54.3	1421.4	1628.9	1576.6	1557.7
54.4	1420.1	1628	1575.6	1556.5
54.5	1418.1	1626.4	1574.2	1555.3
54.6	1416.5	1625.6	1573	1554.1
54.7	1415.4	1624.3	1571.9	1552.9
54.8	1413.6	1623	1570.7	1551.7
54.9	1412.1	1621.9	1569.4	1550.5
55	1411.1	1620.9	1568.1	1549.3
55.1	1409.9	1619.7	1566.7	1548.1
55.2	1408.4	1618.7	1565.3	1546.9
55.3	1406.5	1617.3	1564.3	1545.7
55.4	1404.7	1615.9	1563.1	1544.5
55.5	1403.1	1614.9	1561.9	1543.3
55.6	1402	1613.5	1560.7	1542.2
55.7	1400.3	1612.3	1559.7	1541
55.8	1398.7	1610.9	1558.3	1539.8
